x,K_baseline,K_windowed
-2.53,4.074386511313e-02,5.505258159566e-03
-2.52,4.178574609993e-02,5.684826145506e-03
-2.51,4.284998431426e-02,5.869780457016e-03
-2.5,4.393693362341e-02,6.060266706677e-03
-2.49,4.504694998975e-02,6.256433936994e-03
-2.48,4.618039137973e-02,6.458434686134e-03
-2.47,4.733761766954e-02,6.666425054505e-03
-2.46,4.851899054735e-02,6.880564772159e-03
-2.45,4.972487341235e-02,7.101017267026e-03
-2.44,5.095563127019e-02,7.327949733979e-03
-2.43,5.221163062519e-02,7.561533204709e-03
-2.42,5.349323936899e-02,7.801942618427e-03
-2.41,5.480082666578e-02,8.049356893374e-03
-2.4,5.613476283413e-02,8.303958999132e-03
-2.39,5.749541922526e-02,8.565936029746e-03
-2.38,5.888316809781e-02,8.835479277626e-03
-2.37,6.029838248921e-02,9.112784308242e-03
-2.36,6.174143608343e-02,9.398051035593e-03
-2.35,6.321270307529e-02,9.691483798434e-03
-2.34,6.471255803123e-02,9.993291437276e-03
-2.33,6.624137574656e-02,1.030368737211e-02
-2.32,6.779953109925e-02,1.062288968088e-02
-2.31,6.938739890012e-02,1.095112117866e-02
-2.3,7.100535373964e-02,1.128860949756e-02
-2.29,7.265376983117e-02,1.163558716727e-02
-2.28,7.433302085079e-02,1.199229169637e-02
-2.27,7.604347977358e-02,1.235896565418e-02
-2.26,7.778551870657e-02,1.273585675332e-02
-2.25,7.955950871823e-02,1.312321793290e-02
-2.24,8.136581966453e-02,1.352130744226e-02
-2.23,8.320482001171e-02,1.393038892526e-02
-2.22,8.507687665568e-02,1.435073150524e-02
-2.21,8.698235473814e-02,1.478260987035e-02
-2.2,8.892161745939e-02,1.522630435948e-02
-2.19,9.089502588800e-02,1.568210104864e-02
-2.18,9.290293876726e-02,1.615029183771e-02
-2.17,9.494571231849e-02,1.663117453774e-02
-2.16,9.702370004129e-02,1.712505295843e-02
-2.15,9.913725251075e-02,1.763223699613e-02
-2.14,1.012867171717e-01,1.815304272201e-02
-2.13,1.034724381301e-01,1.868779247054e-02
-2.12,1.056947559415e-01,1.923681492820e-02
-2.11,1.079540073966e-01,1.980044522231e-02
-2.1,1.102505253045e-01,2.037902501007e-02
-2.09,1.125846382729e-01,2.097290256756e-02
-2.08,1.149566704860e-01,2.158243287887e-02
-2.07,1.173669414798e-01,2.220797772517e-02
-2.06,1.198157659148e-01,2.284990577366e-02
-2.05,1.223034533469e-01,2.350859266639e-02
-2.04,1.248303079958e-01,2.418442110893e-02
-2.03,1.273966285111e-01,2.487778095865e-02
-2.02,1.300027077367e-01,2.558906931278e-02
-2.01,1.326488324727e-01,2.631869059596e-02
-2.0,1.353352832366e-01,2.706705664732e-02
-1.9900000000000002,1.380623340216e-01,2.783458680704e-02
-1.98,1.408302520538e-01,2.862170800216e-02
-1.9700000000000002,1.436392975481e-01,2.942885483172e-02
-1.96,1.464897234624e-01,3.025646965102e-02
-1.9500000000000002,1.493817752504e-01,3.110500265495e-02
-1.94,1.523156906142e-01,3.197491196033e-02
-1.9300000000000002,1.552916992548e-01,3.286666368701e-02
-1.92,1.583100226219e-01,3.378073203780e-02
-1.9100000000000001,1.613708736642e-01,3.471759937699e-02
-1.9,1.644744565772e-01,3.567775630741e-02
-1.8900000000000001,1.676209665519e-01,3.666170174578e-02
-1.88,1.708105895231e-01,3.766994299644e-02
-1.87,1.740435019166e-01,3.870299582304e-02
-1.8599999999999999,1.773198703978e-01,3.976138451830e-02
-1.85,1.806398516189e-01,4.084564197149e-02
-1.8399999999999999,1.840035919677e-01,4.195630973361e-02
-1.83,1.874112273162e-01,4.309393808003e-02
-1.8199999999999998,1.908628827699e-01,4.425908607037e-02
-1.81,1.943586724178e-01,4.545232160561e-02
-1.7999999999999998,1.978986990836e-01,4.667422148198e-02
-1.79,2.014830540781e-01,4.792537144171e-02
-1.7799999999999998,2.051118169521e-01,4.920636622015e-02
-1.77,2.087850552518e-01,5.051780958933e-02
-1.7599999999999998,2.125028242750e-01,5.186031439746e-02
-1.75,2.162651668299e-01,5.323450260428e-02
-1.7400000000000002,2.200721129948e-01,5.464100531205e-02
-1.73,2.239236798811e-01,5.608046279174e-02
-1.7200000000000002,2.278198713980e-01,5.755352450435e-02
-1.71,2.317606780197e-01,5.906084911693e-02
-1.7000000000000002,2.357460765559e-01,6.060310451308e-02
-1.69,2.397760299241e-01,6.218096779754e-02
-1.6800000000000002,2.438504869265e-01,6.379512529472e-02
-1.67,2.479693820289e-01,6.544627254054e-02
-1.6600000000000001,2.521326351433e-01,6.713511426757e-02
-1.65,2.563401514151e-01,6.886236438283e-02
-1.6400000000000001,2.605918210127e-01,7.062874593796e-02
-1.63,2.648875189224e-01,7.243499109146e-02
-1.62,2.692271047466e-01,7.428184106241e-02
-1.6099999999999999,2.736104225073e-01,7.617004607535e-02
-1.6,2.780373004532e-01,7.810036529584e-02
-1.5899999999999999,2.825075508727e-01,8.007356675624e-02
-1.58,2.870209699109e-01,8.209042727117e-02
-1.5699999999999998,2.915773373927e-01,8.415173234225e-02
-1.56,2.961764166503e-01,8.625827605145e-02
-1.5499999999999998,3.008179543573e-01,8.841086094262e-02
-1.54,3.055016803678e-01,9.061029789056e-02
-1.5299999999999998,3.102273075619e-01,9.285740595703e-02
-1.52,3.149945316968e-01,9.515301223319e-02
-1.5099999999999998,3.198030312650e-01,9.749795166763e-02
-1.5,3.246524673583e-01,9.989306687949e-02
-1.4900000000000002,3.295424835391e-01,1.023392079560e-01
-1.48,3.344727057176e-01,1.048372322334e-01
-1.4700000000000002,3.394427420373e-01,1.073880040613e-01
-1.46,3.444521827669e-01,1.099923945481e-01
-1.4500000000000002,3.495006001998e-01,1.126512812892e-01
-1.44,3.545875485609e-01,1.153655480742e-01
-1.4300000000000002,3.597125639219e-01,1.181360845748e-01
-1.42,3.648751641237e-01,1.209637860110e-01
-1.4100000000000001,3.700748487069e-01,1.238495527951e-01
-1.4,3.753110988514e-01,1.267942901525e-01
-1.3900000000000001,3.805833773231e-01,1.297989077191e-01
-1.38,3.858911284302e-01,1.328643191125e-01
-1.37,3.912337779875e-01,1.359914414778e-01
-1.3599999999999999,3.966107332900e-01,1.391811950063e-01
-1.35,4.020213830947e-01,1.424345024250e-01
-1.3399999999999999,4.074650976125e-01,1.457522884578e-01
-1.33,4.129412285088e-01,1.491354792549e-01
-1.3199999999999998,4.184491089130e-01,1.525850017915e-01
-1.31,4.239880534384e-01,1.561017832327e-01
-1.2999999999999998,4.295573582107e-01,1.596867502642e-01
-1.29,4.351563009074e-01,1.633408283876e-01
-1.2799999999999998,4.407841408053e-01,1.670649411785e-01
-1.27,4.464401188399e-01,1.708600095067e-01
-1.2599999999999998,4.521234576731e-01,1.747269507161e-01
-1.25,4.578333617716e-01,1.786666777645e-01
-1.2400000000000002,4.635690174960e-01,1.826800983197e-01
-1.23,4.693295931991e-01,1.867681138124e-01
-1.2200000000000002,4.751142393354e-01,1.909316184437e-01
-1.21,4.809220885802e-01,1.951714981454e-01
-1.2000000000000002,4.867522559600e-01,1.994886294918e-01
-1.19,4.926038389924e-01,2.038838785615e-01
-1.1800000000000002,4.984759178375e-01,2.083580997481e-01
-1.17,5.043675554587e-01,2.129121345176e-01
-1.1600000000000001,5.102777977955e-01,2.175468101106e-01
-1.15,5.162056739455e-01,2.222629381897e-01
-1.1400000000000001,5.221501963580e-01,2.270613134275e-01
-1.13,5.281103610377e-01,2.319427120373e-01
-1.12,5.340851477595e-01,2.369078902411e-01
-1.1099999999999999,5.400735202933e-01,2.419575826770e-01
-1.1,5.460744266397e-01,2.470925007419e-01
-1.0899999999999999,5.520867992768e-01,2.523133308701e-01
-1.08,5.581095554167e-01,2.576207327440e-01
-1.0699999999999998,5.641415972727e-01,2.630153374389e-01
-1.06,5.701818123376e-01,2.684977454971e-01
-1.0499999999999998,5.762290736718e-01,2.740685249331e-01
-1.04,5.822822402018e-01,2.797282091669e-01
-1.0299999999999998,5.883401570293e-01,2.854772948854e-01
-1.02,5.944016557502e-01,2.913162398305e-01
-1.0099999999999998,6.004655547839e-01,2.972454605138e-01
-1.0,6.065306597126e-01,3.032653298563e-01
-0.9900000000000002,6.125957636305e-01,3.093761747540e-01
-0.9800000000000004,6.186596475026e-01,3.155782735680e-01
-0.9699999999999998,6.247210805340e-01,3.218718535391e-01
-0.96,6.307788205474e-01,3.282570881283e-01
-0.9500000000000002,6.368316143717e-01,3.347340942821e-01
-0.9400000000000004,6.428781982385e-01,3.413029296233e-01
-0.9299999999999997,6.489172981882e-01,3.479635895695e-01
-0.9199999999999999,6.549476304859e-01,3.547160043793e-01
-0.9100000000000001,6.609679020446e-01,3.615600361274e-01
-0.9000000000000004,6.669768108585e-01,3.684954756124e-01
-0.8899999999999997,6.729730464438e-01,3.755220391964e-01
-0.8799999999999999,6.789552902886e-01,3.826393655819e-01
-0.8700000000000001,6.849222163098e-01,3.898470125276e-01
-0.8600000000000003,6.908724913191e-01,3.971444535060e-01
-0.8499999999999996,6.968047754960e-01,4.045310743083e-01
-0.8399999999999999,7.027177228684e-01,4.120061695992e-01
-0.8300000000000001,7.086099818002e-01,4.195689394281e-01
-0.8200000000000003,7.144801954864e-01,4.272184857010e-01
-0.8099999999999996,7.203270024548e-01,4.349538086195e-01
-0.7999999999999998,7.261490370737e-01,4.427738030937e-01
-0.79,7.319449300669e-01,4.506772551363e-01
-0.7800000000000002,7.377133090335e-01,4.586628382452e-01
-0.7699999999999996,7.434527989748e-01,4.667291097839e-01
-0.7599999999999998,7.491620228250e-01,4.748745073688e-01
-0.75,7.548396019890e-01,4.830973452730e-01
-0.7400000000000002,7.604841568836e-01,4.913958108578e-01
-0.7300000000000004,7.660943074840e-01,4.997679610438e-01
-0.7199999999999998,7.716686738745e-01,5.082117188320e-01
-0.71,7.772058768036e-01,5.167248698914e-01
-0.7000000000000002,7.827045382419e-01,5.253050592227e-01
-0.6900000000000004,7.881632819445e-01,5.339497879171e-01
-0.6799999999999997,7.935807340158e-01,5.426564100217e-01
-0.6699999999999999,7.989555234774e-01,5.514221295310e-01
-0.6600000000000001,8.042862828385e-01,5.602439975191e-01
-0.6500000000000004,8.095716486679e-01,5.691189094326e-01
-0.6399999999999997,8.148102621687e-01,5.780436025601e-01
-0.6299999999999999,8.200007697539e-01,5.870146537003e-01
-0.6200000000000001,8.251418236230e-01,5.960284770464e-01
-0.6100000000000003,8.302320823400e-01,6.050813223089e-01
-0.5999999999999996,8.352702114113e-01,6.141692730965e-01
-0.5899999999999999,8.402548838639e-01,6.232882455781e-01
-0.5800000000000001,8.451847808237e-01,6.324339874466e-01
-0.5700000000000003,8.500585920924e-01,6.416020772077e-01
-0.5599999999999996,8.548750167247e-01,6.507879238160e-01
-0.5499999999999998,8.596327636025e-01,6.599867666814e-01
-0.54,8.643305520096e-01,6.691936760681e-01
-0.5300000000000002,8.689671122022e-01,6.784035539091e-01
-0.5199999999999996,8.735411859789e-01,6.876111350589e-01
-0.5099999999999998,8.780515272466e-01,6.968109890061e-01
-0.5,8.824969025846e-01,7.059975220677e-01
-0.4900000000000002,8.868760918040e-01,7.151649800854e-01
-0.4800000000000004,8.911878885042e-01,7.243074516451e-01
-0.46999999999999975,8.954311006252e-01,7.334188718366e-01
-0.45999999999999996,8.996045509952e-01,7.424930265725e-01
-0.4500000000000002,9.037070778732e-01,7.515235574829e-01
-0.4400000000000004,9.077375354868e-01,7.605039673985e-01
-0.4299999999999997,9.116947945646e-01,7.694276264365e-01
-0.41999999999999993,9.155777428620e-01,7.782877786994e-01
-0.41000000000000014,9.193852856816e-01,7.870775495947e-01
-0.40000000000000036,9.231163463866e-01,7.957899537816e-01
-0.3899999999999997,9.267698669076e-01,8.044179037476e-01
-0.3799999999999999,9.303448082414e-01,8.129542190156e-01
-0.3700000000000001,9.338401509438e-01,8.213916359784e-01
-0.3600000000000003,9.372548956127e-01,8.297228183540e-01
-0.34999999999999964,9.405880633643e-01,8.379403682533e-01
-0.33999999999999986,9.438386963005e-01,8.460368378456e-01
-0.33000000000000007,9.470058579670e-01,8.540047416061e-01
-0.3200000000000003,9.500886338026e-01,8.618365691243e-01
-0.3099999999999996,9.530861315795e-01,8.695247984486e-01
-0.2999999999999998,9.559974818331e-01,8.770619099386e-01
-0.29000000000000004,9.588218382820e-01,8.844404005922e-01
-0.28000000000000025,9.615583782383e-01,8.916527988115e-01
-0.2699999999999996,9.642063030062e-01,8.986916795659e-01
-0.2599999999999998,9.667648382712e-01,9.055496799093e-01
-0.25,9.692332344763e-01,9.122195148013e-01
-0.2400000000000002,9.716107671891e-01,9.186939931818e-01
-0.23000000000000043,9.738967374551e-01,9.249660342436e-01
-0.21999999999999975,9.760904721404e-01,9.310286838424e-01
-0.20999999999999996,9.781913242622e-01,9.368751309858e-01
-0.20000000000000018,9.801986733068e-01,9.424987243334e-01
-0.1900000000000004,9.821119255344e-01,9.478929886443e-01
-0.17999999999999972,9.839305142725e-01,9.530516411008e-01
-0.16999999999999993,9.856539001953e-01,9.579686074403e-01
-0.16000000000000014,9.872815715903e-01,9.626380378220e-01
-0.15000000000000036,9.888130446112e-01,9.670543223582e-01
-0.13999999999999968,9.902478635182e-01,9.712121062360e-01
-0.1299999999999999,9.915856009036e-01,9.751063043599e-01
-0.1200000000000001,9.928258579038e-01,9.787321154415e-01
-0.11000000000000032,9.939682643982e-01,9.820850354691e-01
-0.09999999999999964,9.950124791927e-01,9.851608704878e-01
-0.08999999999999986,9.959581901895e-01,9.879557486256e-01
-0.08000000000000007,9.968051145430e-01,9.904661313027e-01
-0.07000000000000028,9.975529988005e-01,9.926888235650e-01
-0.05999999999999961,9.982016190284e-01,9.946209834879e-01
-0.04999999999999982,9.987507809246e-01,9.962601305981e-01
-0.040000000000000036,9.992003199147e-01,9.976041532695e-01
-0.03000000000000025,9.995501012348e-01,9.986513150513e-01
-0.019999999999999574,9.998000199987e-01,9.994002598947e-01
-0.009999999999999787,9.999500012500e-01,9.998500162484e-01
0.0,1.000000000000e+00,1.000000000000e+00
0.009999999999999787,9.999500012500e-01,9.998500162484e-01
0.019999999999999574,9.998000199987e-01,9.994002598947e-01
0.03000000000000025,9.995501012348e-01,9.986513150513e-01
0.040000000000000036,9.992003199147e-01,9.976041532695e-01
0.04999999999999982,9.987507809246e-01,9.962601305981e-01
0.05999999999999961,9.982016190284e-01,9.946209834879e-01
0.07000000000000028,9.975529988005e-01,9.926888235650e-01
0.08000000000000007,9.968051145430e-01,9.904661313027e-01
0.08999999999999986,9.959581901895e-01,9.879557486256e-01
0.09999999999999964,9.950124791927e-01,9.851608704878e-01
0.11000000000000032,9.939682643982e-01,9.820850354691e-01
0.1200000000000001,9.928258579038e-01,9.787321154415e-01
0.1299999999999999,9.915856009036e-01,9.751063043599e-01
0.13999999999999968,9.902478635182e-01,9.712121062360e-01
0.15000000000000036,9.888130446112e-01,9.670543223582e-01
0.16000000000000014,9.872815715903e-01,9.626380378220e-01
0.16999999999999993,9.856539001953e-01,9.579686074403e-01
0.17999999999999972,9.839305142725e-01,9.530516411008e-01
0.1900000000000004,9.821119255344e-01,9.478929886443e-01
