xi,Khat
-64.0,0.47058823529411764
-63.96875,0.4705611841648674
-63.9375,0.4705340964781735
-63.90625,0.4705069721696002
-63.875,0.47047981117457344
-63.84375,0.4704526134283801
-63.8125,0.4704253788661678
-63.78125,0.4703981074229447
-63.75,0.4703707990335788
-63.71875,0.47034345363279795
-63.6875,0.4703160711551893
-63.65625,0.47028865153519894
-63.625,0.47026119470713157
-63.59375,0.4702337006051503
-63.5625,0.47020616916327596
-63.53125,0.47017860031538716
-63.5,0.4701509939952195
-63.46875,0.4701233501363655
-63.4375,0.4700956686722743
-63.40625,0.470067949536251
-63.375,0.47004019266145636
-63.34375,0.47001239798090677
-63.3125,0.4699845654274735
-63.28125,0.4699566949338826
-63.25,0.4699287864327142
-63.21875,0.4699008398564025
-63.1875,0.46987285513723537
-63.15625,0.46984483220735357
-63.125,0.46981677099875097
-63.09375,0.4697886714432737
-63.0625,0.4697605334726199
-63.03125,0.46973235701833976
-63.0,0.4697041420118343
-62.96875,0.46967588838435587
-62.9375,0.46964759606700723
-62.90625,0.4696192649907413
-62.875,0.4695908950863608
-62.84375,0.469562486284518
-62.8125,0.4695340385157141
-62.78125,0.469505551710299
-62.75,0.4694770257984709
-62.71875,0.46944846071027574
-62.6875,0.4694198563756072
-62.65625,0.46939121272420586
-62.625,0.4693625296856593
-62.59375,0.46933380718940104
-62.5625,0.46930504516471094
-62.53125,0.4692762435407142
-62.5,0.4692474022463812
-62.46875,0.4692185212105271
-62.4375,0.46918960036181157
-62.40625,0.46916063962873805
-62.375,0.4691316389396537
-62.34375,0.4691025982227488
-62.3125,0.46907351740605635
-62.28125,0.46904439641745194
-62.25,0.4690152351846529
-62.21875,0.4689860336352182
-62.1875,0.4689567916965481
-62.15625,0.4689275092958835
-62.125,0.4688981863603057
-62.09375,0.468868822816736
-62.0625,0.468839418591935
-62.03125,0.4688099736125029
-62.0,0.468780487804878
-61.96875,0.46875096109533754
-61.9375,0.4687213934099962
-61.90625,0.4686917846748063
-61.875,0.46866213481555724
-61.84375,0.468632443757875
-61.8125,0.46860271142722176
-61.78125,0.4685729377488957
-61.75,0.4685431226480301
-61.71875,0.4685132660495934
-61.6875,0.46848336787838857
-61.65625,0.4684534280590526
-61.625,0.46842344651605616
-61.59375,0.4683934231737033
-61.5625,0.4683633579561308
-61.53125,0.46833325078730786
-61.5,0.4683031015910357
-61.46875,0.46827291029094703
-61.4375,0.46824267681050563
-61.40625,0.4682124010730061
-61.375,0.46818208300157305
-61.34375,0.46815172251916104
-61.3125,0.468121319548554
-61.28125,0.4680908740123647
-61.25,0.46806038583303444
-61.21875,0.4680298549328325
-61.1875,0.4679992812338558
-61.15625,0.4679686646580285
-61.125,0.4679380051271012
-61.09375,0.46790730256265106
-61.0625,0.46787655688608076
-61.03125,0.4678457680186186
-61.0,0.46781493588131756
-60.96875,0.4677840603950552
-60.9375,0.4677531414805331
-60.90625,0.46772217905827623
-60.875,0.46769117304863284
-60.84375,0.4676601233717736
-60.8125,0.46762902994769157
-60.78125,0.46759789269620133
-60.75,0.4675667115369388
-60.71875,0.46753548638936065
-60.6875,0.46750421717274393
-60.65625,0.46747290380618545
-60.625,0.46744154620860145
-60.59375,0.46741014429872707
-60.5625,0.46737869799511594
-60.53125,0.46734720721613965
-60.5,0.46731567187998724
-60.46875,0.4672840919046648
-60.4375,0.467252467207995
-60.40625,0.4672207977076166
-60.375,0.46718908332098386
-60.34375,0.46715732396536624
-60.3125,0.46712551955784787
-60.28125,0.4670936700153269
-60.25,0.4670617752545153
-60.21875,0.4670298351919382
-60.1875,0.4669978497439332
-60.15625,0.46696581882665045
-60.125,0.46693374235605156
-60.09375,0.4669016202479096
-60.0625,0.4668694524178081
-60.03125,0.46683723878114103
-60.0,0.46680497925311204
-59.96875,0.46677267374873405
-59.9375,0.46674032218282874
-59.90625,0.466707924470026
-59.875,0.46667548052476354
-59.84375,0.46664299026128625
-59.8125,0.4666104535936457
-59.78125,0.4665778704356999
-59.75,0.4665452407011124
-59.71875,0.46651256430335214
-59.6875,0.4664798411556926
-59.65625,0.46644707117121154
-59.625,0.46641425426279043
-59.59375,0.4663813903431139
-59.5625,0.46634847932466916
-59.53125,0.4663155211197458
-59.5,0.46628251564043466
-59.46875,0.46624946279862794
-59.4375,0.46621636250601844
-59.40625,0.46618321467409884
-59.375,0.46615001921416144
-59.34375,0.4661167760372976
-59.3125,0.46608348505439706
-59.28125,0.4660501461761475
-59.25,0.4660167593130341
-59.21875,0.46598332437533885
-59.1875,0.4659498412731401
-59.15625,0.465916309916312
-59.125,0.465882730214524
-59.09375,0.46584910207724023
-59.0625,0.4658154254137191
-59.03125,0.46578170013301257
-59.0,0.46574792614396576
-58.96875,0.4657141033552163
-58.9375,0.4656802316751939
-58.90625,0.4656463110121197
-58.875,0.4656123412740057
-58.84375,0.4655783223686543
-58.8125,0.46554425420365775
-58.78125,0.4655101366863975
-58.75,0.46547596972404376
-58.71875,0.46544175322355474
-58.6875,0.4654074870916763
-58.65625,0.4653731712349413
-58.625,0.4653388055596691
-58.59375,0.46530438997196494
-58.5625,0.46526992437771925
-58.53125,0.4652354086826073
-58.5,0.4652008427920886
-58.46875,0.46516622661140616
-58.4375,0.46513156004558603
-58.40625,0.4650968429994368
-58.375,0.4650620753775488
-58.34375,0.46502725708429377
-58.3125,0.46499238802382414
-58.28125,0.4649574681000725
-58.25,0.4649224972167509
-58.21875,0.4648874752773504
-58.1875,0.46485240218514057
-58.15625,0.46481727784316856
-58.125,0.46478210215425886
-58.09375,0.4647468750210125
