xi,Repsi,log_mod_z,resid
-256.0,3.014128095161504,3.0142284909467287,-0.00010039578522480497
-255.75,3.0131510064085516,3.0132515985609825,-0.00010059215243085617
-255.5,3.012172961971214,3.0122737510675304,-0.00010078909631650035
-255.25,3.011193959978068,3.011294946597209,-0.0001009866191408193
-255.0,3.010213998552189,3.010315183275366,-0.0001011847231766616
-254.75,3.009233075811127,3.0093344592218325,-0.00010138341070531354
-254.5,3.0082511898668867,3.0083527725509076,-0.00010158268402093995
-254.25,3.007268338825905,3.0073701213713333,-0.00010178254542836385
-254.0,3.0062845207890287,3.006386503786273,-0.00010198299724439863
-253.75,3.0052997338514937,3.00540191789329,-0.00010218404179607177
-253.5,3.004313976102902,3.004416361784325,-0.0001023856814232893
-253.25,3.003327245627198,3.0034298335456753,-0.0001025879184770595
-253.0,3.002339540502651,3.0024423312579698,-0.00010279075531860471
-252.75,3.001350858801827,3.00145385299615,-0.00010299419432291401
-252.5,3.000361198591569,3.0004643968294444,-0.00010319823787563465
-252.25,2.9993705579329735,2.9994739608213483,-0.00010340288837484835
-252.0,2.9983789348813694,2.998482543029599,-0.00010360814822973907
-251.75,2.9973863274862933,2.997490141506155,-0.0001038140198614812
-251.5,2.9963927337914664,2.996496754297171,-0.00010402050570457178
-251.25,2.9953981518347725,2.9955023794429763,-0.0001042276082037219
-251.0,2.9944025796482343,2.994507014978052,-0.00010443532981785353
-250.75,2.9934060152579893,2.993510658931006,-0.00010464367301654676
-250.5,2.992408456684268,2.99251330932455,-0.00010485264028226027
-250.25,2.991409901941368,2.9915149641754777,-0.00010506223410988724
-250.0,2.990410349037632,2.9905156214946387,-0.00010527245700675536
-249.75,2.9894097959754236,2.989515279286917,-0.00010548331149351498
-249.5,2.988408240751104,2.9885139355512056,-0.00010569480010147458
-249.25,2.9874056813550056,2.9875115882803827,-0.00010590692537704172
-249.0,2.9864021157714102,2.9865082354612875,-0.00010611968987728204
-248.75,2.9853975419785237,2.985503875074698,-0.00010633309617436026
-248.5,2.984391957948452,2.984498505095303,-0.00010654714685065514
-248.25,2.9833853616471755,2.98349212349168,-0.00010676184450453263
-248.0,2.982377751034526,2.9824847282262708,-0.00010697719174457276
-247.75,2.981369124064161,2.981476317255355,-0.0001071931911940105
-247.5,2.9803594786835377,2.9804668885290275,-0.00010740984548984756
-247.25,2.9793488128338894,2.9794564399911714,-0.00010762715728196426
-247.0,2.9783371244502006,2.978444969579434,-0.0001078451292335636
-246.75,2.977324411461181,2.977432475225201,-0.00010806376401983897
-246.5,2.9763106717892387,2.9764189548535716,-0.00010828306433285917
-246.25,2.975295903350457,2.9754044063833325,-0.00010850303287535112
-246.0,2.974280104054568,2.974388827726933,-0.0001087236723651408
-245.75,2.973263271804925,2.973372216790459,-0.00010894498553382093
-245.5,2.9722454044984796,2.9723545714736064,-0.000109166975126751
-245.25,2.9712265000257525,2.9713358896696556,-0.00010938964390305728
-245.0,2.9702065562708095,2.970316169265446,-0.00010961299463652097
-244.75,2.9691855711112343,2.9692954081413485,-0.00010983703011424595
-244.5,2.968163542418101,2.9682736041712405,-0.00011006175313932332
-244.25,2.967140468055951,2.9672507552224774,-0.00011028716652639048
-244.0,2.96611634588276,2.966226859155867,-0.00011051327310696024
-243.75,2.9650911737499186,2.9652019138256445,-0.00011074007572586808
-243.5,2.9640649495021982,2.9641759170794413,-0.00011096757724304851
-243.25,2.9630376709777293,2.963148866758262,-0.00011119578053264689
-243.0,2.9620093360079705,2.9621207606964557,-0.0001114246884852399
-242.75,2.9609799424176835,2.961091596721687,-0.0001116543040033946
-242.5,2.9599494880249035,2.9600613726549105,-0.00011188463000699755
-242.25,2.9589179706409126,2.959030086310343,-0.00011211566943059026
-242.0,2.9578853880702125,2.957997735495435,-0.00011234742522248098
-241.75,2.9568517381104944,2.9569643180108427,-0.00011257990034829746
-241.5,2.955817018552613,2.9559298316504,-0.00011281309778699011
-241.25,2.9547812271805562,2.9548942742010915,-0.00011304702053527294
-241.0,2.9537443617714185,2.953857643443022,-0.00011328167160362668
-240.75,2.9527064200953714,2.9528199371493895,-0.00011351705401807521
-240.5,2.9516673999156344,2.951781153086456,-0.00011375317082151781
-240.25,2.950627298988446,2.9507412890135183,-0.00011399002507239686
-240.0,2.9495861150630356,2.94970034268288,-0.00011422761984425378
-239.75,2.948543845881594,2.948658311839821,-0.00011446595822706129
-239.5,2.9475004891792422,2.9476151942225703,-0.0001147050433281116
-239.25,2.9464560426840056,2.9465709875622745,-0.00011494487826890776
-239.0,2.9454105041167797,2.945525689582969,-0.00011518546618916048
-238.75,2.944363871191304,2.9444792980015477,-0.00011542681024367951
-238.5,2.943316141614131,2.943431810527735,-0.00011566891360414999
-238.25,2.942267313084594,2.9423832248640536,-0.00011591177945957654
-238.0,2.94121738329478,2.941333538705795,-0.00011615541101495097
-237.75,2.9401663499294965,2.9402827497409882,-0.00011639981149169643
-237.5,2.9391142106662422,2.939230855650373,-0.00011664498413077595
-237.25,2.938060963175178,2.938177854107364,-0.0001168909321860312
-237.0,2.9370066051190906,2.9371237427780237,-0.00011713765893306416
-236.75,2.9359511341533673,2.936068519321028,-0.00011738516766079954
-236.5,2.934894547925962,2.9350121813876395,-0.00011763346167770194
-236.25,2.9338368440773626,2.933954726621672,-0.00011788254430955547
-236.0,2.932778020240562,2.9328961526594615,-0.00011813241889946369
-235.75,2.931718074041025,2.9318364571298337,-0.00011838308880873782
-235.5,2.9306570030966554,2.9307756376540706,-0.00011863455741512041
-235.25,2.929594805017767,2.929713691845883,-0.0001188868281158939
