eta,R,Qmin
0.15,1.2,0.47549790137483905
0.15,2.0,0.4852052008686236
0.15,3.0,0.4884803967157605
0.25,1.2,0.4754980068341119
0.25,2.0,0.4852053063024721
0.25,3.0,0.4884805021416666
0.4,1.2,0.47549807745750156
0.4,2.0,0.4852053769088463
0.4,3.0,0.4884805727427254
