eta,R,gamma,g0,Q
0.15,2.0,14.134725141,12.134725141,0.4927430751798722
0.15,2.0,14.134725141,12.161391807666668,0.4927090393206355
0.15,2.0,14.134725141,12.188058474333333,0.4926752182627583
0.15,2.0,14.134725141,12.214725141,0.4926416102215552
0.15,2.0,14.134725141,12.241391807666668,0.4926082134306284
0.15,2.0,14.134725141,12.268058474333333,0.4925750261416469
0.15,2.0,14.134725141,12.294725141,0.49254204662412704
0.15,2.0,14.134725141,12.321391807666668,0.49250927316521825
0.15,2.0,14.134725141,12.348058474333333,0.4924767040694891
0.15,2.0,14.134725141,12.374725141,0.4924443376587183
0.15,2.0,14.134725141,12.401391807666668,0.49241217227168893
0.15,2.0,14.134725141,12.428058474333334,0.4923802062639826
0.15,2.0,14.134725141,12.454725141,0.4923484380077805
0.15,2.0,14.134725141,12.481391807666668,0.49231686589166346
0.15,2.0,14.134725141,12.508058474333334,0.49228548832041746
0.15,2.0,14.134725141,12.534725141000001,0.4922543037148405
0.15,2.0,14.134725141,12.561391807666666,0.4922233105115522
0.15,2.0,14.134725141,12.588058474333334,0.4921925071628058
0.15,2.0,14.134725141,12.614725141000001,0.4921618921363044
0.15,2.0,14.134725141,12.641391807666666,0.4921314639150166
0.15,2.0,14.134725141,12.668058474333334,0.49210122099699805
0.15,2.0,14.134725141,12.694725141000001,0.49207116189521277
0.15,2.0,14.134725141,12.721391807666667,0.4920412851373581
0.15,2.0,14.134725141,12.748058474333334,0.49201158926569255
0.15,2.0,14.134725141,12.774725141000001,0.49198207283686407
0.15,2.0,14.134725141,12.801391807666667,0.49195273442174287
0.15,2.0,14.134725141,12.828058474333334,0.4919235726052548
0.15,2.0,14.134725141,12.854725141000001,0.49189458598621805
0.15,2.0,14.134725141,12.881391807666667,0.491865773177181
0.15,2.0,14.134725141,12.908058474333334,0.4918371328042634
0.15,2.0,14.134725141,12.934725141000001,0.49180866350699926
0.15,2.0,14.134725141,12.961391807666667,0.491780363938181
0.15,2.0,14.134725141,12.988058474333334,0.4917522327637064
0.15,2.0,14.134725141,13.014725141000001,0.49172426866242835
0.15,2.0,14.134725141,13.041391807666667,0.49169647032600494
0.15,2.0,14.134725141,13.068058474333334,0.4916688364587528
0.15,2.0,14.134725141,13.094725141000001,0.4916413657775019
0.15,2.0,14.134725141,13.121391807666667,0.49161405701145205
0.15,2.0,14.134725141,13.148058474333334,0.49158690890203216
