gamma,R,amp,Q
16.0,12.0,0.3,0.004744884439957922
16.0,16.0,0.0,0.014104727751484974
16.0,16.0,0.05,0.01234468827912571
16.0,16.0,0.1,0.01058464880676645
16.0,16.0,0.2,0.007064569862047926
16.0,16.0,0.3,0.0035444909173294016
16.0,24.0,0.0,0.009403156669499818
16.0,24.0,0.05,0.008228667538106785
16.0,24.0,0.1,0.007054178406713749
16.0,24.0,0.2,0.004705200143927681
16.0,24.0,0.3,0.0023562218811416136
16.0,32.0,0.0,0.007053097859640014
16.0,32.0,0.05,0.006171842065157689
16.0,32.0,0.1,0.005290586270675362
16.0,32.0,0.2,0.003528074681710712
16.0,32.0,0.3,0.0017655630927460608
